TriangularNumber({'a': 57, 'b': 84, 'c': 97, 'u': MembershipFunctionNaive{'a': 57, 'b': 84, 'c': 97}})
TriangularNumber({'a': 30, 'b': 40, 'c': 66, 'u': MembershipFunctionNaive{'a': 30, 'b': 40, 'c': 66}})
TriangularNumber({'a': 45, 'b': 70, 'c': 96, 'u': MembershipFunctionNaive{'a': 45, 'b': 70, 'c': 96}})
TriangularNumber({'a': 29, 'b': 53, 'c': 88, 'u': MembershipFunctionNaive{'a': 29, 'b': 53, 'c': 88}})
TriangularNumber({'a': 27, 'b': 90, 'c': 100, 'u': MembershipFunctionNaive{'a': 27, 'b': 90, 'c': 100}})
TriangularNumber({'a': 3, 'b': 5, 'c': 84, 'u': MembershipFunctionNaive{'a': 3, 'b': 5, 'c': 84}})
TriangularNumber({'a': 1, 'b': 25, 'c': 44, 'u': MembershipFunctionNaive{'a': 1, 'b': 25, 'c': 44}})
TriangularNumber({'a': 41, 'b': 96, 'c': 100, 'u': MembershipFunctionNaive{'a': 41, 'b': 96, 'c': 100}})
TriangularNumber({'a': 39, 'b': 77, 'c': 98, 'u': MembershipFunctionNaive{'a': 39, 'b': 77, 'c': 98}})
TriangularNumber({'a': 5, 'b': 13, 'c': 54, 'u': MembershipFunctionNaive{'a': 5, 'b': 13, 'c': 54}})
TriangularNumber({'a': 43, 'b': 50, 'c': 100, 'u': MembershipFunctionNaive{'a': 43, 'b': 50, 'c': 100}})
TriangularNumber({'a': 1, 'b': 7, 'c': 21, 'u': MembershipFunctionNaive{'a': 1, 'b': 7, 'c': 21}})
TriangularNumber({'a': 53, 'b': 85, 'c': 94, 'u': MembershipFunctionNaive{'a': 53, 'b': 85, 'c': 94}})
TriangularNumber({'a': 1, 'b': 10, 'c': 87, 'u': MembershipFunctionNaive{'a': 1, 'b': 10, 'c': 87}})
TriangularNumber({'a': 40, 'b': 68, 'c': 97, 'u': MembershipFunctionNaive{'a': 40, 'b': 68, 'c': 97}})
TriangularNumber({'a': 8, 'b': 52, 'c': 100, 'u': MembershipFunctionNaive{'a': 8, 'b': 52, 'c': 100}})
TriangularNumber({'a': 2, 'b': 59, 'c': 76, 'u': MembershipFunctionNaive{'a': 2, 'b': 59, 'c': 76}})
TriangularNumber({'a': 16, 'b': 40, 'c': 83, 'u': MembershipFunctionNaive{'a': 16, 'b': 40, 'c': 83}})
TriangularNumber({'a': 29, 'b': 92, 'c': 93, 'u': MembershipFunctionNaive{'a': 29, 'b': 92, 'c': 93}})
TriangularNumber({'a': 6, 'b': 36, 'c': 81, 'u': MembershipFunctionNaive{'a': 6, 'b': 36, 'c': 81}})
TriangularNumber({'a': 46, 'b': 63, 'c': 79, 'u': MembershipFunctionNaive{'a': 46, 'b': 63, 'c': 79}})
TriangularNumber({'a': 85, 'b': 96, 'c': 98, 'u': MembershipFunctionNaive{'a': 85, 'b': 96, 'c': 98}})
TriangularNumber({'a': 17, 'b': 66, 'c': 90, 'u': MembershipFunctionNaive{'a': 17, 'b': 66, 'c': 90}})
TriangularNumber({'a': 13, 'b': 94, 'c': 97, 'u': MembershipFunctionNaive{'a': 13, 'b': 94, 'c': 97}})
TriangularNumber({'a': 47, 'b': 71, 'c': 98, 'u': MembershipFunctionNaive{'a': 47, 'b': 71, 'c': 98}})
TriangularNumber({'a': 56, 'b': 67, 'c': 93, 'u': MembershipFunctionNaive{'a': 56, 'b': 67, 'c': 93}})
TriangularNumber({'a': 21, 'b': 28, 'c': 67, 'u': MembershipFunctionNaive{'a': 21, 'b': 28, 'c': 67}})
TriangularNumber({'a': 18, 'b': 19, 'c': 75, 'u': MembershipFunctionNaive{'a': 18, 'b': 19, 'c': 75}})
TriangularNumber({'a': 51, 'b': 86, 'c': 93, 'u': MembershipFunctionNaive{'a': 51, 'b': 86, 'c': 93}})
TriangularNumber({'a': 15, 'b': 70, 'c': 100, 'u': MembershipFunctionNaive{'a': 15, 'b': 70, 'c': 100}})
TriangularNumber({'a': 32, 'b': 37, 'c': 62, 'u': MembershipFunctionNaive{'a': 32, 'b': 37, 'c': 62}})
TriangularNumber({'a': 37, 'b': 59, 'c': 85, 'u': MembershipFunctionNaive{'a': 37, 'b': 59, 'c': 85}})
TriangularNumber({'a': 36, 'b': 77, 'c': 90, 'u': MembershipFunctionNaive{'a': 36, 'b': 77, 'c': 90}})
TriangularNumber({'a': 65, 'b': 94, 'c': 100, 'u': MembershipFunctionNaive{'a': 65, 'b': 94, 'c': 100}})
TriangularNumber({'a': 20, 'b': 96, 'c': 97, 'u': MembershipFunctionNaive{'a': 20, 'b': 96, 'c': 97}})
TriangularNumber({'a': 33, 'b': 69, 'c': 99, 'u': MembershipFunctionNaive{'a': 33, 'b': 69, 'c': 99}})
TriangularNumber({'a': 1, 'b': 2, 'c': 67, 'u': MembershipFunctionNaive{'a': 1, 'b': 2, 'c': 67}})
TriangularNumber({'a': 6, 'b': 87, 'c': 99, 'u': MembershipFunctionNaive{'a': 6, 'b': 87, 'c': 99}})
